Data_Status,MSN,StateCode,Year,Data
2024F,TEACB,AK,1960,27139
2024F,TEACB,AK,1961,31895
2024F,TEACB,AK,1962,34182
2024F,TEACB,AK,1963,32387
2024F,TEACB,AK,1964,32246
2024F,TEACB,AK,1965,34379
2024F,TEACB,AK,1966,36233
2024F,TEACB,AK,1967,43862
2024F,TEACB,AK,1968,47177
2024F,TEACB,AK,1969,56517
2024F,TEACB,AK,1970,76386
2024F,TEACB,AK,1971,85018
2024F,TEACB,AK,1972,83425
2024F,TEACB,AK,1973,71354
2024F,TEACB,AK,1974,76803
2024F,TEACB,AK,1975,79665
2024F,TEACB,AK,1976,89123
2024F,TEACB,AK,1977,94045
2024F,TEACB,AK,1978,97936
2024F,TEACB,AK,1979,85842
2024F,TEACB,AK,1980,89804
2024F,TEACB,AK,1981,101238
2024F,TEACB,AK,1982,102239
2024F,TEACB,AK,1983,115944
2024F,TEACB,AK,1984,142997
2024F,TEACB,AK,1985,153931
2024F,TEACB,AK,1986,150698
2024F,TEACB,AK,1987,133896
2024F,TEACB,AK,1988,150456
2024F,TEACB,AK,1989,173382
2024F,TEACB,AK,1990,168892
2024F,TEACB,AK,1991,156413
2024F,TEACB,AK,1992,151927
2024F,TEACB,AK,1993,154297
2024F,TEACB,AK,1994,157266
2024F,TEACB,AK,1995,173607
2024F,TEACB,AK,1996,167528
2024F,TEACB,AK,1997,188588
2024F,TEACB,AK,1998,192174
2024F,TEACB,AK,1999,207434
2024F,TEACB,AK,2000,219733
2024F,TEACB,AK,2001,205457
2024F,TEACB,AK,2002,209339
2024F,TEACB,AK,2003,219243
2024F,TEACB,AK,2004,265801
2024F,TEACB,AK,2005,263620
2024F,TEACB,AK,2006,265470
2024F,TEACB,AK,2007,249625
2024F,TEACB,AK,2008,214641
2024F,TEACB,AK,2009,189799
2024F,TEACB,AK,2010,193837
2024F,TEACB,AK,2011,185460
2024F,TEACB,AK,2012,168525
2024F,TEACB,AK,2013,152482
2024F,TEACB,AK,2014,155527
2024F,TEACB,AK,2015,163382
2024F,TEACB,AK,2016,154019
2024F,TEACB,AK,2017,156342
2024F,TEACB,AK,2018,164359
2024F,TEACB,AK,2019,164986
2024F,TEACB,AK,2020,165512
2024F,TEACB,AK,2021,194176
2024F,TEACB,AK,2022,198941
2024F,TEACB,AK,2023,204074
2024F,TEACB,AK,2024,205104
2024F,TEACB,AL,1960,176015
2024F,TEACB,AL,1961,172023
2024F,TEACB,AL,1962,179802
2024F,TEACB,AL,1963,189395
2024F,TEACB,AL,1964,190545
2024F,TEACB,AL,1965,200727
2024F,TEACB,AL,1966,206854
2024F,TEACB,AL,1967,216031
2024F,TEACB,AL,1968,242554
2024F,TEACB,AL,1969,255625
2024F,TEACB,AL,1970,268489
2024F,TEACB,AL,1971,281247
2024F,TEACB,AL,1972,300827
2024F,TEACB,AL,1973,327548
2024F,TEACB,AL,1974,350726
2024F,TEACB,AL,1975,363127
2024F,TEACB,AL,1976,373155
2024F,TEACB,AL,1977,395543
2024F,TEACB,AL,1978,405416
2024F,TEACB,AL,1979,353042
2024F,TEACB,AL,1980,349881
2024F,TEACB,AL,1981,342116
2024F,TEACB,AL,1982,333176
2024F,TEACB,AL,1983,324451
2024F,TEACB,AL,1984,337698
2024F,TEACB,AL,1985,334813
2024F,TEACB,AL,1986,349194
2024F,TEACB,AL,1987,374883
2024F,TEACB,AL,1988,377985
2024F,TEACB,AL,1989,401324
2024F,TEACB,AL,1990,397799
2024F,TEACB,AL,1991,406124
2024F,TEACB,AL,1992,417482
2024F,TEACB,AL,1993,413632
2024F,TEACB,AL,1994,431784
2024F,TEACB,AL,1995,454692
2024F,TEACB,AL,1996,444370
2024F,TEACB,AL,1997,439699
2024F,TEACB,AL,1998,447984
2024F,TEACB,AL,1999,453914
2024F,TEACB,AL,2000,472549
2024F,TEACB,AL,2001,445445
2024F,TEACB,AL,2002,472527
2024F,TEACB,AL,2003,458057
2024F,TEACB,AL,2004,493169
2024F,TEACB,AL,2005,489525
2024F,TEACB,AL,2006,496100
2024F,TEACB,AL,2007,499549
2024F,TEACB,AL,2008,467614
2024F,TEACB,AL,2009,459035
2024F,TEACB,AL,2010,478021
2024F,TEACB,AL,2011,477604
2024F,TEACB,AL,2012,471350
2024F,TEACB,AL,2013,465999
2024F,TEACB,AL,2014,465046
2024F,TEACB,AL,2015,480635
2024F,TEACB,AL,2016,504392
2024F,TEACB,AL,2017,498642
2024F,TEACB,AL,2018,488587
2024F,TEACB,AL,2019,500947
2024F,TEACB,AL,2020,497477
2024F,TEACB,AL,2021,555534
2024F,TEACB,AL,2022,552731
2024F,TEACB,AL,2023,543231
2024F,TEACB,AL,2024,559279
2024F,TEACB,AR,1960,104652
2024F,TEACB,AR,1961,114214
2024F,TEACB,AR,1962,116715
2024F,TEACB,AR,1963,123586
2024F,TEACB,AR,1964,130214
2024F,TEACB,AR,1965,129593
2024F,TEACB,AR,1966,136348
2024F,TEACB,AR,1967,139183
2024F,TEACB,AR,1968,153822
2024F,TEACB,AR,1969,159784
2024F,TEACB,AR,1970,166549
2024F,TEACB,AR,1971,173379
2024F,TEACB,AR,1972,193085
2024F,TEACB,AR,1973,209852
2024F,TEACB,AR,1974,210118
2024F,TEACB,AR,1975,209528
2024F,TEACB,AR,1976,216054
2024F,TEACB,AR,1977,222603
2024F,TEACB,AR,1978,229577
2024F,TEACB,AR,1979,200014
2024F,TEACB,AR,1980,204275
2024F,TEACB,AR,1981,208967
2024F,TEACB,AR,1982,208325
2024F,TEACB,AR,1983,195411
2024F,TEACB,AR,1984,207483
2024F,TEACB,AR,1985,203444
2024F,TEACB,AR,1986,207724
2024F,TEACB,AR,1987,216907
2024F,TEACB,AR,1988,226684
2024F,TEACB,AR,1989,233710
2024F,TEACB,AR,1990,228101
2024F,TEACB,AR,1991,229427
2024F,TEACB,AR,1992,227667
2024F,TEACB,AR,1993,238191
2024F,TEACB,AR,1994,255166
2024F,TEACB,AR,1995,260424
2024F,TEACB,AR,1996,265553
2024F,TEACB,AR,1997,273172
2024F,TEACB,AR,1998,275696
2024F,TEACB,AR,1999,293044
2024F,TEACB,AR,2000,293838
2024F,TEACB,AR,2001,277439
2024F,TEACB,AR,2002,285353
2024F,TEACB,AR,2003,285258
2024F,TEACB,AR,2004,288206
2024F,TEACB,AR,2005,288729
2024F,TEACB,AR,2006,288737
2024F,TEACB,AR,2007,292672
2024F,TEACB,AR,2008,285174
2024F,TEACB,AR,2009,285150
2024F,TEACB,AR,2010,289317
2024F,TEACB,AR,2011,286279
2024F,TEACB,AR,2012,277062
2024F,TEACB,AR,2013,275498
2024F,TEACB,AR,2014,279428
2024F,TEACB,AR,2015,276390
2024F,TEACB,AR,2016,282996
2024F,TEACB,AR,2017,284658
2024F,TEACB,AR,2018,285701
2024F,TEACB,AR,2019,288459
2024F,TEACB,AR,2020,270910
2024F,TEACB,AR,2021,284677
2024F,TEACB,AR,2022,283609
2024F,TEACB,AR,2023,287538
2024F,TEACB,AR,2024,287963
2024F,TEACB,AZ,1960,116689
2024F,TEACB,AZ,1961,121239
2024F,TEACB,AZ,1962,129736
2024F,TEACB,AZ,1963,136740
2024F,TEACB,AZ,1964,143720
2024F,TEACB,AZ,1965,139441
2024F,TEACB,AZ,1966,148689
2024F,TEACB,AZ,1967,159735
2024F,TEACB,AZ,1968,183623
2024F,TEACB,AZ,1969,192910
2024F,TEACB,AZ,1970,194132
2024F,TEACB,AZ,1971,204293
2024F,TEACB,AZ,1972,225168
2024F,TEACB,AZ,1973,243872
2024F,TEACB,AZ,1974,233258
2024F,TEACB,AZ,1975,230139
2024F,TEACB,AZ,1976,235052
2024F,TEACB,AZ,1977,253262
2024F,TEACB,AZ,1978,267033
2024F,TEACB,AZ,1979,274217
2024F,TEACB,AZ,1980,265931
2024F,TEACB,AZ,1981,269191
2024F,TEACB,AZ,1982,261440
2024F,TEACB,AZ,1983,263390
2024F,TEACB,AZ,1984,279869
2024F,TEACB,AZ,1985,293447
2024F,TEACB,AZ,1986,299713
2024F,TEACB,AZ,1987,312326
2024F,TEACB,AZ,1988,322840
2024F,TEACB,AZ,1989,322219
2024F,TEACB,AZ,1990,325563
2024F,TEACB,AZ,1991,332408
2024F,TEACB,AZ,1992,336940
2024F,TEACB,AZ,1993,352581
2024F,TEACB,AZ,1994,366258
2024F,TEACB,AZ,1995,372801
2024F,TEACB,AZ,1996,394105
2024F,TEACB,AZ,1997,394605
2024F,TEACB,AZ,1998,424601
2024F,TEACB,AZ,1999,447923
2024F,TEACB,AZ,2000,459904
2024F,TEACB,AZ,2001,475175
2024F,TEACB,AZ,2002,485228
2024F,TEACB,AZ,2003,500076
2024F,TEACB,AZ,2004,510211
2024F,TEACB,AZ,2005,532716
2024F,TEACB,AZ,2006,549271
2024F,TEACB,AZ,2007,541381
2024F,TEACB,AZ,2008,504995
2024F,TEACB,AZ,2009,476336
2024F,TEACB,AZ,2010,516833
2024F,TEACB,AZ,2011,513616
2024F,TEACB,AZ,2012,503236
2024F,TEACB,AZ,2013,511660
2024F,TEACB,AZ,2014,517644
2024F,TEACB,AZ,2015,527831
2024F,TEACB,AZ,2016,541139
2024F,TEACB,AZ,2017,544625
2024F,TEACB,AZ,2018,555070
2024F,TEACB,AZ,2019,571039
2024F,TEACB,AZ,2020,509595
2024F,TEACB,AZ,2021,566564
2024F,TEACB,AZ,2022,550656
2024F,TEACB,AZ,2023,561819
2024F,TEACB,AZ,2024,577799
2024F,TEACB,CA,1960,1224346
2024F,TEACB,CA,1961,1292619
2024F,TEACB,CA,1962,1316703
2024F,TEACB,CA,1963,1354162
2024F,TEACB,CA,1964,1421143
2024F,TEACB,CA,1965,1491398
2024F,TEACB,CA,1966,1592651
2024F,TEACB,CA,1967,1654310
2024F,TEACB,CA,1968,1779248
2024F,TEACB,CA,1969,1829801
2024F,TEACB,CA,1970,1832625
2024F,TEACB,CA,1971,1909060
2024F,TEACB,CA,1972,1931989
2024F,TEACB,CA,1973,1986920
2024F,TEACB,CA,1974,1899445
2024F,TEACB,CA,1975,1955579
2024F,TEACB,CA,1976,2065224
2024F,TEACB,CA,1977,2206812
2024F,TEACB,CA,1978,2372880
2024F,TEACB,CA,1979,2354257
2024F,TEACB,CA,1980,2363647
